STUDENTID,COURSENAMEENG,SUBGROUP,MAINGROUP
6316050,Software Configuration Management,Major Required Course,Specific Required Course
6316050,Korean 2,Major Elective Course,Major Elective Course
6316050,General Psychology,Humanities Course,General Education Course 
6316050,Science for Life,Science and Mathematics Course,General Education Course 
6316050,Software Engineering Case Studies,Major Required Course,Specific Required Course
6316050,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6316050,Senior Project 2,Major Required Course,Specific Required Course
6316050,Enterprise Application Architecture,Major Required Course,Specific Required Course
6316050,Co-operative Education,Major Required Course,Specific Required Course
6316150,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6316150,Mathematics for Information Technology 1,Core Course,Specific Required Course
6316150,Basic Information Technology,Science and Mathematics Course,General Education Course 
6316150,Computer Programming,Major Required Course,Specific Required Course
6316150,Intensive English,Major Elective Course,Major Elective Course
6316150,Human and Computer Interaction,Major Required Course,Specific Required Course
6316150,Mathematics for Information Technology 2,Core Course,Specific Required Course
6316150,Object-Oriented Programming,Major Required Course,Specific Required Course
6316150,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6316150,Introduction to Software Engineering,Major Required Course,Specific Required Course
6316150,Thai Language Skills,Language Course,General Education Course 
6316150,English 2,Language Course,General Education Course 
6316150,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6316150,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6316150,Probability and Statistics,Core Course,Specific Required Course
6316150,Computer Architecture,Major Required Course,Specific Required Course
6316150,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6316150,Introduction to Economics,Social Science Course,General Education Course 
6316150,Database Systems,Major Required Course,Specific Required Course
6316150,Operating Systems,Major Required Course,Specific Required Course
6316150,English 3,Language Course,General Education Course 
6316150,Software Architecture,Major Required Course,Specific Required Course
6316150,Data Structures and Algorithms,Major Required Course,Specific Required Course
6316150,Software Testing,Major Required Course,Specific Required Course
6316150,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6316150,Seminar in Software Engineering,Major Required Course,Specific Required Course
6319210,Chinese 1,Language Course,General Education Course 
6316150,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6316150,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6316150,ASEAN Studies,Social Science Course,General Education Course 
6316150,Management Information Systems,Major Required Course,Specific Required Course
6316150,Principles of Crop Produces,Major Elective Course,Major Elective Course
6316150,Web Programming,Major Required Course,Specific Required Course
6316150,Science for Life,Science and Mathematics Course,General Education Course 
6316150,Senior Project 1,Major Required Course,Specific Required Course
6316150,Human Relations,Major Elective Course,Major Elective Course
6316150,Software Construction and Evolution,Major Required Course,Specific Required Course
6316150,General Psychology,Humanities Course,General Education Course 
6316150,Software Project and Risk Management,Major Required Course,Specific Required Course
6316150,Software Configuration Management,Major Required Course,Specific Required Course
6316150,Software Engineering Case Studies,Major Required Course,Specific Required Course
6316150,Senior Project 2,Major Required Course,Specific Required Course
6316150,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6316150,Enterprise Application Architecture,Major Required Course,Specific Required Course
6316150,Co-operative Education,Major Required Course,Specific Required Course
6316250,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6316250,Computer Programming,Major Required Course,Specific Required Course
6316250,Basic Information Technology,Science and Mathematics Course,General Education Course 
6316250,Mathematics for Information Technology 1,Core Course,Specific Required Course
6316250,Introduction to Software Engineering,Major Required Course,Specific Required Course
6316250,Human and Computer Interaction,Major Required Course,Specific Required Course
6316250,English 2,Language Course,General Education Course 
6316250,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6316250,Mathematics for Information Technology 2,Core Course,Specific Required Course
6316250,Object-Oriented Programming,Major Required Course,Specific Required Course
6316250,Thai Language Skills,Language Course,General Education Course 
6316250,ASEAN Studies,Social Science Course,General Education Course 
6316250,General Psychology,Humanities Course,General Education Course 
6316250,Introduction to Economics,Social Science Course,General Education Course 
6316250,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6316250,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6316250,Computer Architecture,Major Required Course,Specific Required Course
6316250,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6316250,Probability and Statistics,Core Course,Specific Required Course
6316250,Software Architecture,Major Required Course,Specific Required Course
6316250,Database Systems,Major Required Course,Specific Required Course
6316250,English 3,Language Course,General Education Course 
6316250,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6316250,Software Testing,Major Required Course,Specific Required Course
6316250,Data Structures and Algorithms,Major Required Course,Specific Required Course
6316250,Operating Systems,Major Required Course,Specific Required Course
6316250,Web Programming,Major Required Course,Specific Required Course
6316250,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6319510,Chinese 1,Language Course,General Education Course 
6316250,Seminar in Software Engineering,Major Required Course,Specific Required Course
6316250,Management Information Systems,Major Required Course,Specific Required Course
6316250,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6316250,Principles of Crop Produces,Major Elective Course,Major Elective Course
6316250,Software Construction and Evolution,Major Required Course,Specific Required Course
6316250,Software Project and Risk Management,Major Required Course,Specific Required Course
6316250,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6316250,Senior Project 1,Major Required Course,Specific Required Course
6316250,Software Configuration Management,Major Required Course,Specific Required Course
6316250,Science for Life,Science and Mathematics Course,General Education Course 
6316250,Senior Project 2,Major Required Course,Specific Required Course
6316250,Enterprise Application Architecture,Major Required Course,Specific Required Course
6316250,Entomology and Health,Major Elective Course,Major Elective Course
6316250,Software Engineering Case Studies,Major Required Course,Specific Required Course
6316250,Co-operative Education,Major Required Course,Specific Required Course
6316350,Mathematics for Information Technology 1,Core Course,Specific Required Course
6316350,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6316350,Computer Programming,Major Required Course,Specific Required Course
6316350,Basic Information Technology,Science and Mathematics Course,General Education Course 
6316350,Mathematics for Information Technology 2,Core Course,Specific Required Course
6316350,Introduction to Software Engineering,Major Required Course,Specific Required Course
6316350,Thai Language Skills,Language Course,General Education Course 
6316350,Object-Oriented Programming,Major Required Course,Specific Required Course
6316350,Human and Computer Interaction,Major Required Course,Specific Required Course
6316350,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6316350,ASEAN Studies,Social Science Course,General Education Course 
6316350,Introduction to Economics,Social Science Course,General Education Course 
6319910,Chinese 1,Language Course,General Education Course 
6316350,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6316350,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6316350,Computer Architecture,Major Required Course,Specific Required Course
6316350,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6316350,Probability and Statistics,Core Course,Specific Required Course
6316350,Software Architecture,Major Required Course,Specific Required Course
6316350,Database Systems,Major Required Course,Specific Required Course
6316350,Data Structures and Algorithms,Major Required Course,Specific Required Course
6316350,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6316350,Software Testing,Major Required Course,Specific Required Course
6316350,Operating Systems,Major Required Course,Specific Required Course
6316350,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6316350,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6316350,Management Information Systems,Major Required Course,Specific Required Course
6316350,Seminar in Software Engineering,Major Required Course,Specific Required Course
6316350,Web Programming,Major Required Course,Specific Required Course
6316350,Intensive English,Major Elective Course,Major Elective Course
6316350,English 2,Language Course,General Education Course 
6316350,Software Construction and Evolution,Major Required Course,Specific Required Course
6316350,Software Project and Risk Management,Major Required Course,Specific Required Course
6316350,Human Relations,Major Elective Course,Major Elective Course
6316350,English 2,Language Course,General Education Course 
6316350,General Psychology,Humanities Course,General Education Course 
6316350,Science for Life,Science and Mathematics Course,General Education Course 
6316350,Senior Project 1,Major Required Course,Specific Required Course
6316350,Software Configuration Management,Major Required Course,Specific Required Course
6316350,Enterprise Application Architecture,Major Required Course,Specific Required Course
6316350,English 3,Language Course,General Education Course 
6316350,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6316350,Senior Project 2,Major Required Course,Specific Required Course
6316350,Principles of Crop Produces,Major Elective Course,Major Elective Course
6316350,Software Engineering Case Studies,Major Required Course,Specific Required Course
6316350,Senior Project 2,Major Required Course,Specific Required Course
6316350,Co-operative Education,Major Required Course,Specific Required Course
6316450,Mathematics for Information Technology 1,Core Course,Specific Required Course
6316450,Computer Programming,Major Required Course,Specific Required Course
6316450,Basic Information Technology,Science and Mathematics Course,General Education Course 
6316450,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6316450,Thai Language Skills,Language Course,General Education Course 
6316450,Introduction to Software Engineering,Major Required Course,Specific Required Course
6316450,Object-Oriented Programming,Major Required Course,Specific Required Course
6316450,Human and Computer Interaction,Major Required Course,Specific Required Course
6316450,Mathematics for Information Technology 2,Core Course,Specific Required Course
6316450,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6316450,English 2,Language Course,General Education Course 
6316450,Computer Architecture,Major Required Course,Specific Required Course
6316450,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6316450,Introduction to Economics,Social Science Course,General Education Course 
6316450,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6316450,Probability and Statistics,Core Course,Specific Required Course
6316450,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6316450,Database Systems,Major Required Course,Specific Required Course
6316450,Operating Systems,Major Required Course,Specific Required Course
6316450,Software Architecture,Major Required Course,Specific Required Course
6316450,Data Structures and Algorithms,Major Required Course,Specific Required Course
6316450,Software Testing,Major Required Course,Specific Required Course
6316450,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6316450,ASEAN Studies,Social Science Course,General Education Course 
6316450,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6316450,Web Programming,Major Required Course,Specific Required Course
6316450,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6316450,Principles of Crop Produces,Major Elective Course,Major Elective Course
6316450,Seminar in Software Engineering,Major Required Course,Specific Required Course
6310011,Chinese 1,Language Course,General Education Course 
6316450,Management Information Systems,Major Required Course,Specific Required Course
6316450,Software Construction and Evolution,Major Required Course,Specific Required Course
6316450,Software Project and Risk Management,Major Required Course,Specific Required Course
6316450,Science for Life,Science and Mathematics Course,General Education Course 
6316450,General Psychology,Humanities Course,General Education Course 
6316450,Software Configuration Management,Major Required Course,Specific Required Course
6316450,English 3,Language Course,General Education Course 
6316450,Senior Project 1,Major Required Course,Specific Required Course
6316450,Human Relations,Major Elective Course,Major Elective Course
6316450,Software Engineering Case Studies,Major Required Course,Specific Required Course
6316450,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6316450,Senior Project 2,Major Required Course,Specific Required Course
6316450,Enterprise Application Architecture,Major Required Course,Specific Required Course
6316450,Korean 1,Major Elective Course,Major Elective Course
6316450,Co-operative Education,Major Required Course,Specific Required Course
6316650,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6316650,Basic Information Technology,Science and Mathematics Course,General Education Course 
6316650,Computer Programming,Major Required Course,Specific Required Course
6316650,Mathematics for Information Technology 1,Core Course,Specific Required Course
6316650,Object-Oriented Programming,Major Required Course,Specific Required Course
6316650,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6316650,Human and Computer Interaction,Major Required Course,Specific Required Course
6316650,Introduction to Software Engineering,Major Required Course,Specific Required Course
6316650,Mathematics for Information Technology 2,Core Course,Specific Required Course
6316650,Thai Language Skills,Language Course,General Education Course 
6316650,Introduction to Economics,Social Science Course,General Education Course 
6316650,Probability and Statistics,Core Course,Specific Required Course
6316650,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6316650,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6316650,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6316650,Computer Architecture,Major Required Course,Specific Required Course
6316650,Intensive English,Major Elective Course,Major Elective Course
6316650,Operating Systems,Major Required Course,Specific Required Course
6316650,Software Testing,Major Required Course,Specific Required Course
6316650,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6316650,Software Architecture,Major Required Course,Specific Required Course
6316650,Database Systems,Major Required Course,Specific Required Course
6316650,Data Structures and Algorithms,Major Required Course,Specific Required Course
6316650,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6316650,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6316650,Management Information Systems,Major Required Course,Specific Required Course
6316650,Seminar in Software Engineering,Major Required Course,Specific Required Course
6316650,Web Programming,Major Required Course,Specific Required Course
6316650,Software Construction and Evolution,Major Required Course,Specific Required Course
6316650,Software Project and Risk Management,Major Required Course,Specific Required Course
6316650,Senior Project 1,Major Required Course,Specific Required Course
6316650,Software Configuration Management,Major Required Course,Specific Required Course
6316650,English 2,Language Course,General Education Course 
6310111,Chinese 1,Language Course,General Education Course 
6316650,English 2,Language Course,General Education Course 
6316650,ASEAN Studies,Social Science Course,General Education Course 
6316650,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6316650,Senior Project 2,Major Required Course,Specific Required Course
6316650,Enterprise Application Architecture,Major Required Course,Specific Required Course
6316650,Software Engineering Case Studies,Major Required Course,Specific Required Course
6316650,Principles of Crop Produces,Major Elective Course,Major Elective Course
6316650,Human Relations,Major Elective Course,Major Elective Course
6316650,Science for Life,Science and Mathematics Course,General Education Course 
6316650,Operating Systems,Major Required Course,Specific Required Course
6316650,English 3,Language Course,General Education Course 
6316650,General Psychology,Humanities Course,General Education Course 
6316650,Co-operative Education,Major Required Course,Specific Required Course
6316750,Computer Programming,Major Required Course,Specific Required Course
6316750,Mathematics for Information Technology 1,Core Course,Specific Required Course
6316750,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6316750,Basic Information Technology,Science and Mathematics Course,General Education Course 
6316750,Introduction to Software Engineering,Major Required Course,Specific Required Course
6316750,Mathematics for Information Technology 2,Core Course,Specific Required Course
6316750,Human and Computer Interaction,Major Required Course,Specific Required Course
6316750,Object-Oriented Programming,Major Required Course,Specific Required Course
6316750,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6316750,Thai Language Skills,Language Course,General Education Course 
6316750,English 2,Language Course,General Education Course 
6316750,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6316750,Introduction to Economics,Social Science Course,General Education Course 
6316750,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6316750,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6316750,Computer Architecture,Major Required Course,Specific Required Course
6316750,Probability and Statistics,Core Course,Specific Required Course
6316750,Intensive English,Major Elective Course,Major Elective Course
6316750,Software Testing,Major Required Course,Specific Required Course
6316750,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6316750,Operating Systems,Major Required Course,Specific Required Course
6316750,Database Systems,Major Required Course,Specific Required Course
6316750,Data Structures and Algorithms,Major Required Course,Specific Required Course
6316750,Software Architecture,Major Required Course,Specific Required Course
6316750,English 2,Language Course,General Education Course 
6316750,Seminar in Software Engineering,Major Required Course,Specific Required Course
6316750,Principles of Crop Produces,Major Elective Course,Major Elective Course
6316750,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6310211,Chinese 1,Language Course,General Education Course 
6316750,Web Programming,Major Required Course,Specific Required Course
6316750,Management Information Systems,Major Required Course,Specific Required Course
6316750,ASEAN Studies,Social Science Course,General Education Course 
6316750,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6316750,Senior Project 1,Major Required Course,Specific Required Course
6316750,Software Configuration Management,Major Required Course,Specific Required Course
6316750,General Psychology,Humanities Course,General Education Course 
6316750,Science for Life,Science and Mathematics Course,General Education Course 
6316750,English 2,Language Course,General Education Course 
6316750,Software Construction and Evolution,Major Required Course,Specific Required Course
6316750,Software Project and Risk Management,Major Required Course,Specific Required Course
6316750,Senior Project 2,Major Required Course,Specific Required Course
6316750,Enterprise Application Architecture,Major Required Course,Specific Required Course
6316750,Entomology and Health,Major Elective Course,Major Elective Course
6316750,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6316750,Software Engineering Case Studies,Major Required Course,Specific Required Course
6316750,English 2,Language Course,General Education Course 
6316750,English 3,Language Course,General Education Course 
6316750,Co-operative Education,Major Required Course,Specific Required Course
6316950,Computer Programming,Major Required Course,Specific Required Course
6316950,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6316950,Basic Information Technology,Science and Mathematics Course,General Education Course 
6316950,Mathematics for Information Technology 1,Core Course,Specific Required Course
6316950,Introduction to Software Engineering,Major Required Course,Specific Required Course
6316950,Human and Computer Interaction,Major Required Course,Specific Required Course
6316950,Mathematics for Information Technology 2,Core Course,Specific Required Course
6316950,Object-Oriented Programming,Major Required Course,Specific Required Course
6316950,Intensive English,Major Elective Course,Major Elective Course
6316950,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6316950,Thai Language Skills,Language Course,General Education Course 
6316950,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6316950,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6316950,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6316950,Computer Architecture,Major Required Course,Specific Required Course
6316950,Probability and Statistics,Core Course,Specific Required Course
6316950,Software Architecture,Major Required Course,Specific Required Course
6316950,Data Structures and Algorithms,Major Required Course,Specific Required Course
6316950,Software Testing,Major Required Course,Specific Required Course
6316950,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6316950,Database Systems,Major Required Course,Specific Required Course
6316950,Introduction to Economics,Social Science Course,General Education Course 
6310511,Chinese 1,Language Course,General Education Course 
6316950,Thai Traditional Food Recipes,Major Elective Course,Major Elective Course
6316950,Web Programming,Major Required Course,Specific Required Course
6316950,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6316950,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6316950,Management Information Systems,Major Required Course,Specific Required Course
6316950,English 2,Language Course,General Education Course 
6316950,Seminar in Software Engineering,Major Required Course,Specific Required Course
6316950,Science for Life,Science and Mathematics Course,General Education Course 
6316950,English 3,Language Course,General Education Course 
6316950,Software Configuration Management,Major Required Course,Specific Required Course
6316950,Senior Project 1,Major Required Course,Specific Required Course
6316950,Software Construction and Evolution,Major Required Course,Specific Required Course
6316950,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6316950,Software Project and Risk Management,Major Required Course,Specific Required Course
6316950,General Psychology,Humanities Course,General Education Course 
6316950,Senior Project 2,Major Required Course,Specific Required Course
6316950,Principles of Crop Produces,Major Elective Course,Major Elective Course
6316950,Enterprise Application Architecture,Major Required Course,Specific Required Course
6316950,ASEAN Studies,Social Science Course,General Education Course 
6316950,Software Engineering Case Studies,Major Required Course,Specific Required Course
6316950,Basic Technology of Food Products,Major Elective Course,Major Elective Course
6316950,Operating Systems,Major Required Course,Specific Required Course
6316950,Co-operative Education,Major Required Course,Specific Required Course
6317050,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6317050,Computer Programming,Major Required Course,Specific Required Course
6317050,Basic Information Technology,Science and Mathematics Course,General Education Course 
6317050,Mathematics for Information Technology 1,Core Course,Specific Required Course
6317050,Object-Oriented Programming,Major Required Course,Specific Required Course
6317050,Human and Computer Interaction,Major Required Course,Specific Required Course
6317050,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6317050,Thai Language Skills,Language Course,General Education Course 
6317050,Mathematics for Information Technology 2,Core Course,Specific Required Course
6317050,Introduction to Software Engineering,Major Required Course,Specific Required Course
6317050,ASEAN Studies,Social Science Course,General Education Course 
6317050,Introduction to Economics,Social Science Course,General Education Course 
6317050,General Psychology,Humanities Course,General Education Course 
6317050,Computer Architecture,Major Required Course,Specific Required Course
6317050,Intensive English,Major Elective Course,Major Elective Course
6317050,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6317050,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6317050,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6317050,Probability and Statistics,Core Course,Specific Required Course
6317050,Software Architecture,Major Required Course,Specific Required Course
6317050,Software Testing,Major Required Course,Specific Required Course
6317050,Database Systems,Major Required Course,Specific Required Course
6317050,Data Structures and Algorithms,Major Required Course,Specific Required Course
6317050,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6310611,Chinese 1,Language Course,General Education Course 
6317050,Principles of Crop Produces,Major Elective Course,Major Elective Course
6317050,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6317050,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6317050,Management Information Systems,Major Required Course,Specific Required Course
6317050,Web Programming,Major Required Course,Specific Required Course
6317050,Seminar in Software Engineering,Major Required Course,Specific Required Course
6317050,Science for Life,Science and Mathematics Course,General Education Course 
6317050,Thai Language Skills,Language Course,General Education Course 
6317050,Software Configuration Management,Major Required Course,Specific Required Course
6317050,Senior Project 1,Major Required Course,Specific Required Course
6317050,Software Project and Risk Management,Major Required Course,Specific Required Course
6317050,Software Construction and Evolution,Major Required Course,Specific Required Course
6317050,Software Engineering Case Studies,Major Required Course,Specific Required Course
6317050,English 2,Language Course,General Education Course 
6317050,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6317050,Senior Project 2,Major Required Course,Specific Required Course
6317050,Enterprise Application Architecture,Major Required Course,Specific Required Course
6317050,English 3,Language Course,General Education Course 
6317050,Basic Technology of Food Products,Major Elective Course,Major Elective Course
6317050,Operating Systems,Major Required Course,Specific Required Course
6317050,Co-operative Education,Major Required Course,Specific Required Course
6317450,Mathematics for Information Technology 1,Core Course,Specific Required Course
6317450,Basic Information Technology,Science and Mathematics Course,General Education Course 
6317450,Computer Programming,Major Required Course,Specific Required Course
6317450,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6317450,Mathematics for Information Technology 2,Core Course,Specific Required Course
6317450,Introduction to Software Engineering,Major Required Course,Specific Required Course
6317450,Thai Language Skills,Language Course,General Education Course 
6317450,Human and Computer Interaction,Major Required Course,Specific Required Course
6317450,Object-Oriented Programming,Major Required Course,Specific Required Course
6317450,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6317450,Introduction to Economics,Social Science Course,General Education Course 
6317450,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6317450,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6317450,Probability and Statistics,Core Course,Specific Required Course
6317450,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6317450,Computer Architecture,Major Required Course,Specific Required Course
6317450,Intensive English,Major Elective Course,Major Elective Course
6317450,Operating Systems,Major Required Course,Specific Required Course
6317450,Database Systems,Major Required Course,Specific Required Course
6317450,Software Architecture,Major Required Course,Specific Required Course
6317450,Data Structures and Algorithms,Major Required Course,Specific Required Course
6317450,Software Testing,Major Required Course,Specific Required Course
6317450,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6317450,English 2,Language Course,General Education Course 
6317450,Web Programming,Major Required Course,Specific Required Course
6317450,Thai Traditional Food Recipes,Major Elective Course,Major Elective Course
6317450,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6310711,Chinese 1,Language Course,General Education Course 
6317450,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6317450,Management Information Systems,Major Required Course,Specific Required Course
6317450,Seminar in Software Engineering,Major Required Course,Specific Required Course
6317450,Software Project and Risk Management,Major Required Course,Specific Required Course
6317450,Senior Project 1,Major Required Course,Specific Required Course
6317450,Software Configuration Management,Major Required Course,Specific Required Course
6317450,Software Construction and Evolution,Major Required Course,Specific Required Course
6317450,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6317450,General Psychology,Humanities Course,General Education Course 
6317450,English 3,Language Course,General Education Course 
6317450,Science for Life,Science and Mathematics Course,General Education Course 
6317450,ASEAN Studies,Social Science Course,General Education Course 
6317450,Senior Project 2,Major Required Course,Specific Required Course
6317450,Enterprise Application Architecture,Major Required Course,Specific Required Course
6317450,Software Engineering Case Studies,Major Required Course,Specific Required Course
6317450,Principles of Crop Produces,Major Elective Course,Major Elective Course
6317450,Data Communications and Networks,Major Elective Course,Specific Required Course
6317450,Co-operative Education,Major Required Course,Specific Required Course
6317550,Computer Programming,Major Required Course,Specific Required Course
6317550,Mathematics for Information Technology 1,Core Course,Specific Required Course
6317550,Basic Information Technology,Science and Mathematics Course,General Education Course 
6317550,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6317550,Intensive English,Major Elective Course,Major Elective Course
6317550,Object-Oriented Programming,Major Required Course,Specific Required Course
6317550,Mathematics for Information Technology 2,Core Course,Specific Required Course
6317550,Human and Computer Interaction,Major Required Course,Specific Required Course
6317550,Thai Language Skills,Language Course,General Education Course 
6317550,Introduction to Software Engineering,Major Required Course,Specific Required Course
6317550,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6317550,ASEAN Studies,Social Science Course,General Education Course 
6317550,Introduction to Economics,Social Science Course,General Education Course 
6310911,Chinese 1,Language Course,General Education Course 
6317550,English 2,Language Course,General Education Course 
6317550,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6317550,Computer Architecture,Major Required Course,Specific Required Course
6317550,Probability and Statistics,Core Course,Specific Required Course
6317550,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6317550,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6317550,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6317550,English 3,Language Course,General Education Course 
6317550,Operating Systems,Major Required Course,Specific Required Course
6317550,Software Architecture,Major Required Course,Specific Required Course
6317550,Data Structures and Algorithms,Major Required Course,Specific Required Course
6317550,Database Systems,Major Required Course,Specific Required Course
6317550,Software Testing,Major Required Course,Specific Required Course
6317550,Principles of Crop Produces,Major Elective Course,Major Elective Course
6317550,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6317550,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6317550,Seminar in Software Engineering,Major Required Course,Specific Required Course
6317550,Web Programming,Major Required Course,Specific Required Course
6317550,Management Information Systems,Major Required Course,Specific Required Course
6317550,Software Configuration Management,Major Required Course,Specific Required Course
6317550,Senior Project 1,Major Required Course,Specific Required Course
6317550,Software Project and Risk Management,Major Required Course,Specific Required Course
6317550,Software Construction and Evolution,Major Required Course,Specific Required Course
6317550,General Psychology,Humanities Course,General Education Course 
6317550,Science for Life,Science and Mathematics Course,General Education Course 
6317550,Enterprise Application Architecture,Major Required Course,Specific Required Course
6317550,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6317550,Entomology and Health,Major Elective Course,Major Elective Course
6317550,Senior Project 2,Major Required Course,Specific Required Course
6317550,Software Engineering Case Studies,Major Required Course,Specific Required Course
6317550,Co-operative Education,Major Required Course,Specific Required Course
6317850,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6317850,Computer Programming,Major Required Course,Specific Required Course
6317850,Mathematics for Information Technology 1,Core Course,Specific Required Course
6317850,Basic Information Technology,Science and Mathematics Course,General Education Course 
6317850,Mathematics for Information Technology 2,Core Course,Specific Required Course
6317850,Object-Oriented Programming,Major Required Course,Specific Required Course
6317850,Introduction to Software Engineering,Major Required Course,Specific Required Course
6317850,Intensive English,Major Elective Course,Major Elective Course
6317850,Human and Computer Interaction,Major Required Course,Specific Required Course
6317850,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6317850,Thai Language Skills,Language Course,General Education Course 
6317850,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6317850,Computer Architecture,Major Required Course,Specific Required Course
